State,count
Washington,13
Ohio,11
Idaho,4
Missouri,4
Maine,3
Alabama,2
New York,2
California,2
Arkansas,2
Texas,2
North Carolina,2
Oregon,2
Indiana,2
Massachusetts,1
Oklahoma,1
Pennsylvania,1
West Virginia,1
South Carolina,1
New Mexico,1
Ontario,1
Kentucky,1
Illinois,1
Colorado,1
British Columbia,1
Virginia,1
Montana,1
Minnesota,1
Michigan,1
Florida,1
Tennessee,1
